"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Publisher","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang Y.; Teng B.; Gou Y.","Zhang, Yi (57216699203); Teng, Bin (57205480285); Gou, Ying (8392361300)","57216699203; 57205480285; 8392361300","Nonlinear modelling of a point-absorber wave energy converter based on the weak-scatterer approximation","2021","Ocean Engineering","239","","109924","","","","5","10.1016/j.oceaneng.2021.109924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115984887&doi=10.1016%2fj.oceaneng.2021.109924&partnerID=40&md5=685139ca6ce43672d890e3d5a0c46b6b","State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China","Zhang Y., State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China; Teng B., State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China; Gou Y., State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China","B. Teng; State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology, Dalian, 116024, China; email: bteng@dlut.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85115984887"
"Rajapakse G.; Jayasinghe S.; Fleming A.","Rajapakse, Gimara (57195204499); Jayasinghe, Shantha (35793741000); Fleming, Alan (54894398200)","57195204499; 35793741000; 54894398200","Power smoothing and energy storage sizing of vented oscillating water column wave energy converter arrays","2020","Energies","13","5","1278","","","","6","10.3390/en13051278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081733938&doi=10.3390%2fen13051278&partnerID=40&md5=9b610643f82d470788b54f3994da0676","Australian Maritime College, University of Tasmania, 7250, TAS, Australia","Rajapakse G., Australian Maritime College, University of Tasmania, 7250, TAS, Australia; Jayasinghe S., Australian Maritime College, University of Tasmania, 7250, TAS, Australia; Fleming A., Australian Maritime College, University of Tasmania, 7250, TAS, Australia","G. Rajapakse; Australian Maritime College, University of Tasmania, 7250, Australia; email: gimara.rajapakse@utas.edu.au","MDPI AG","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85081733938"
"Chan R.; Kim K.-W.; Park J.-Y.; Park S.-W.; Kim K.-H.; Kwak S.-S.","Chan, Roh (57193114983); Kim, Kil-Won (57005636600); Park, Ji-Yong (52063832600); Park, Se-Wan (56911235100); Kim, Kyong-Hwan (36163336200); Kwak, Sang-Shin (7202607739)","57193114983; 57005636600; 52063832600; 56911235100; 36163336200; 7202607739","Power performance analysis according to the configuration and load control algorithm of power take-off system for oscillating water column type wave energy converters","2020","Energies","13","23","6415","","","","5","10.3390/en13236415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107151691&doi=10.3390%2fen13236415&partnerID=40&md5=b2c926159b1be278d2c144afd365acb4","Korea Research Institute of Ships and Ocean Engineering (KRISO), 1312-32 Yuseong-daero, Yuseong-gu, Daejeon, 34103, South Korea; School of Electrical and Electronics Engineering, Chung-Ang University, Seoul, 06974, South Korea","Chan R., Korea Research Institute of Ships and Ocean Engineering (KRISO), 1312-32 Yuseong-daero, Yuseong-gu, Daejeon, 34103, South Korea; Kim K.-W., Korea Research Institute of Ships and Ocean Engineering (KRISO), 1312-32 Yuseong-daero, Yuseong-gu, Daejeon, 34103, South Korea; Park J.-Y., Korea Research Institute of Ships and Ocean Engineering (KRISO), 1312-32 Yuseong-daero, Yuseong-gu, Daejeon, 34103, South Korea; Park S.-W., Korea Research Institute of Ships and Ocean Engineering (KRISO), 1312-32 Yuseong-daero, Yuseong-gu, Daejeon, 34103, South Korea; Kim K.-H., Korea Research Institute of Ships and Ocean Engineering (KRISO), 1312-32 Yuseong-daero, Yuseong-gu, Daejeon, 34103, South Korea; Kwak S.-S., School of Electrical and Electronics Engineering, Chung-Ang University, Seoul, 06974, South Korea","K.-H. Kim; Korea Research Institute of Ships and Ocean Engineering (KRISO), Daejeon, 1312-32 Yuseong-daero, Yuseong-gu, 34103, South Korea; email: kkim@kriso.re.kr","MDPI AG","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85107151691"
"Çelik A.; Altunkaynak A.","Çelik, Anıl (56231720500); Altunkaynak, Abdüsselam (35612650900)","56231720500; 35612650900","Determination of damping coefficient experimentally and mathematical vibration modelling of OWC surface fluctuations","2020","Renewable Energy","147","","","1909","1920","11","5","10.1016/j.renene.2019.09.104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072889965&doi=10.1016%2fj.renene.2019.09.104&partnerID=40&md5=c2344f84d6948e8d4b618e91ad101b4a","Istanbul Technical University Faculty of Civil Engineering, Hydraulics and Water Resource Engineering Division, Maslak, Istanbul, 34469, Turkey","Çelik A., Istanbul Technical University Faculty of Civil Engineering, Hydraulics and Water Resource Engineering Division, Maslak, Istanbul, 34469, Turkey; Altunkaynak A., Istanbul Technical University Faculty of Civil Engineering, Hydraulics and Water Resource Engineering Division, Maslak, Istanbul, 34469, Turkey","A. Çelik; Istanbul Technical University Faculty of Civil Engineering, Hydraulics and Water Resource Engineering Division, Istanbul, Maslak, 34469, Turkey; email: celikani@itu.edu.tr","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85072889965"
"Wang C.; Zhang Y.; Deng Z.","Wang, Chen (57200068835); Zhang, Yongliang (55739875300); Deng, Zhengzhi (55775063600)","57200068835; 55739875300; 55775063600","A novel dual-chamber oscillating water column system with dual lip-wall pitching motions for wave energy conversion","2022","Energy","246","","123319","","","","6","10.1016/j.energy.2022.123319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124277818&doi=10.1016%2fj.energy.2022.123319&partnerID=40&md5=641714f9bc94f26bf67bf3342eb5eca3","State Key Laboratory of Hydroscience and Engineering, Tsinghua University, Beijing, 10084, China; Institute of Port, Coastal and Offshore Engineering, Ocean College, Zhejiang University, Zhoushan, 10084, China","Wang C., State Key Laboratory of Hydroscience and Engineering, Tsinghua University, Beijing, 10084, China; Zhang Y., State Key Laboratory of Hydroscience and Engineering, Tsinghua University, Beijing, 10084, China; Deng Z., Institute of Port, Coastal and Offshore Engineering, Ocean College, Zhejiang University, Zhoushan, 10084, China","C. Wang; State Key Laboratory of Hydroscience and Engineering, Tsinghua University, Beijing, 10084, China; email: chen-wan20@mails.tsinghua.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85124277818"
"Yang C.; Xu T.; Wan C.; Liu H.; Su Z.; Zhao L.; Chen H.; Johanning L.","Yang, Can (57212010354); Xu, Tingting (57979483200); Wan, Chang (57215830336); Liu, Hengxu (56261211100); Su, Zuohang (57549949700); Zhao, Lujun (57980034800); Chen, Hailong (12804932000); Johanning, Lars (13605483700)","57212010354; 57979483200; 57215830336; 56261211100; 57549949700; 57980034800; 12804932000; 13605483700","Numerical investigation of a dual cylindrical OWC hybrid system incorporated into a fixed caisson breakwater","2023","Energy","263","","126132","","","","5","10.1016/j.energy.2022.126132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142516503&doi=10.1016%2fj.energy.2022.126132&partnerID=40&md5=5c9d71b5f34dee8abc044af9631e29d0","Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China; College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; College of Engineering, Mathematics and Physical Sciences, University of Exeter, Penryn Campus, Cornwall, Penryn, TR10 9FE, United Kingdom","Yang C., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Xu T., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Wan C., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Liu H., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Su Z., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Zhao L., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Chen H., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China; Johanning L., Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China, College of Shipbuilding Engineering, Harbin Engineering University, Harbin, 150001, China, College of Engineering, Mathematics and Physical Sciences, University of Exeter, Penryn Campus, Cornwall, Penryn, TR10 9FE, United Kingdom","L. Johanning; Yantai Research Institute and Graduate School, Harbin Engineering University, Yantai, 265500, China; email: l.johanning@exeter.ac.uk","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85142516503"
"Yao G.; Luo Z.; Lu Z.; Wang M.; Shang J.; Guerrerob J.M.","Yao, Ganzhou (58597945500); Luo, Zirong (12647050100); Lu, Zhongyue (57200988883); Wang, Mangkuan (57207265414); Shang, Jianzhong (7101847300); Guerrerob, Josep M. (35588010400)","58597945500; 12647050100; 57200988883; 57207265414; 7101847300; 35588010400","Principle and control strategy of a novel wave-to-wire system embedded ocean energy storage optimization","2023","Ocean Engineering","271","","113762","","","","5","10.1016/j.oceaneng.2023.113762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147278054&doi=10.1016%2fj.oceaneng.2023.113762&partnerID=40&md5=b5fe393872bc44ddb1d547da75f51b5d","College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; The Department of Energy Technology, Aalborg University, Denmark","Yao G., College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; Luo Z., College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; Lu Z., College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; Wang M., College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; Shang J., College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; Guerrerob J.M., The Department of Energy Technology, Aalborg University, Denmark","Z. Luo; College of Intelligence Science and Technology, National University of Defense Technology, Changsha, China; email: luozirong@nudt.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85147278054"
"Rodrigues J.M.","Rodrigues, José Miguel (55932121200)","55932121200","A procedure to calculate first-order wave-structure interaction loads in wave farms and other multi-body structures subjected to inhomogeneous waves","2021","Energies","14","6","1761","","","","5","10.3390/en14061761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106655864&doi=10.3390%2fen14061761&partnerID=40&md5=38f123055e3536439afcd62e5f08696c","SINTEF Ocean, Marinteknisk Senter, Otto Nielsens vei 10, Trondheim, 7052, Norway","Rodrigues J.M., SINTEF Ocean, Marinteknisk Senter, Otto Nielsens vei 10, Trondheim, 7052, Norway","J.M. Rodrigues; SINTEF Ocean, Trondheim, Marinteknisk Senter, Otto Nielsens vei 10, 7052, Norway; email: miguel.rodrigues@sintef.no","MDPI AG","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85106655864"
"Del Pozo Gonzalez H.; Bianchi F.D.; Dominguez-Garcia J.L.; Gomis-Bellmunt O.","Del Pozo Gonzalez, Hector (57433701200); Bianchi, Fernando D. (55737397800); Dominguez-Garcia, Jose Luis (36650855300); Gomis-Bellmunt, Oriol (15836509300)","57433701200; 55737397800; 36650855300; 15836509300","Co-located wind-wave farms: Optimal control and grid integration","2023","Energy","272","","127176","","","","4","10.1016/j.energy.2023.127176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150213036&doi=10.1016%2fj.energy.2023.127176&partnerID=40&md5=22de5e1fd1d1abc143191a356dac427b","Catalonia Institute for Energy Research (IREC), ., Sant Adrià de Besòs, Barcelona, 08930, Spain; Instituto Tecnológico Buenos Aires (ITBA) and Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Iguazú 341, Ciudad Autónoma de Buenos Aires, C1437, Argentina; Centre d'Innovacio Tecnologica en Convertidors Estatics i Accionaments (CITCEA), Departament d'Enginyeria Electrica, Universitat Politecnica de Catalunya (UPC), Barcelona, 08028, Spain","Del Pozo Gonzalez H., Catalonia Institute for Energy Research (IREC), ., Sant Adrià de Besòs, Barcelona, 08930, Spain; Bianchi F.D., Instituto Tecnológico Buenos Aires (ITBA) and Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Iguazú 341, Ciudad Autónoma de Buenos Aires, C1437, Argentina; Dominguez-Garcia J.L., Catalonia Institute for Energy Research (IREC), ., Sant Adrià de Besòs, Barcelona, 08930, Spain; Gomis-Bellmunt O., Centre d'Innovacio Tecnologica en Convertidors Estatics i Accionaments (CITCEA), Departament d'Enginyeria Electrica, Universitat Politecnica de Catalunya (UPC), Barcelona, 08028, Spain","H. Del Pozo Gonzalez; Catalonia Institute for Energy Research (IREC), Sant Adrià de Besòs, Barcelona, ., 08930, Spain; email: hdelpozo@irec.cat","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85150213036"
"Khasawneh M.A.; Daqaq M.F.","Khasawneh, Mohammad A. (57520118200); Daqaq, Mohammed F. (6507760023)","57520118200; 6507760023","Response behavior of bi-stable point wave energy absorbers under harmonic wave excitations","2022","Nonlinear Dynamics","109","2","","371","391","20","5","10.1007/s11071-022-07507-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130727650&doi=10.1007%2fs11071-022-07507-2&partnerID=40&md5=4615c3d55fa58274529fc1e804f40c1e","Department of Mechanical Engineering, Tandon School of Engineering, New York University, New York, 11201, United States; Division of Engineering, NYU Abu Dhabi, Abu Dhabi, United Arab Emirates","Khasawneh M.A., Department of Mechanical Engineering, Tandon School of Engineering, New York University, New York, 11201, United States, Division of Engineering, NYU Abu Dhabi, Abu Dhabi, United Arab Emirates; Daqaq M.F., Department of Mechanical Engineering, Tandon School of Engineering, New York University, New York, 11201, United States, Division of Engineering, NYU Abu Dhabi, Abu Dhabi, United Arab Emirates","M.A. Khasawneh; Division of Engineering, NYU Abu Dhabi, Abu Dhabi, United Arab Emirates; email: mak1011@nyu.edu","Springer Science and Business Media B.V.","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85130727650"
"Peng W.; Zhang Y.; Yang X.; Zhang J.; He R.; Liu Y.; Chen R.","Peng, Wei (50262681000); Zhang, Yingnan (57218958160); Yang, Xueer (57218956088); Zhang, Jisheng (57211582663); He, Rui (36022553400); Liu, Yanjun (59108298400); Chen, Renwen (7406313214)","50262681000; 57218958160; 57218956088; 57211582663; 36022553400; 59108298400; 7406313214","Hydrodynamic performance of a hybrid system combining a fixed breakwater and a wave energy converter: An experimental study","2020","Energies","13","21","5740","","","","5","10.3390/en13215740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108164920&doi=10.3390%2fen13215740&partnerID=40&md5=8ef700938956d966b47584f620f46768","Key Laboratory of Ministry of Education for Coastal Disaster and Protection, Hohai University, Nanjing, 210098, China; School of Mechanical Engineering, Shandong University, Jiŉan, 250100, China; State Key Laboratory of Mechanics and Control of Mechanical Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, 210016, China","Peng W., Key Laboratory of Ministry of Education for Coastal Disaster and Protection, Hohai University, Nanjing, 210098, China; Zhang Y., Key Laboratory of Ministry of Education for Coastal Disaster and Protection, Hohai University, Nanjing, 210098, China; Yang X., Key Laboratory of Ministry of Education for Coastal Disaster and Protection, Hohai University, Nanjing, 210098, China; Zhang J., Key Laboratory of Ministry of Education for Coastal Disaster and Protection, Hohai University, Nanjing, 210098, China; He R., Key Laboratory of Ministry of Education for Coastal Disaster and Protection, Hohai University, Nanjing, 210098, China; Liu Y., School of Mechanical Engineering, Shandong University, Jiŉan, 250100, China; Chen R., State Key Laboratory of Mechanics and Control of Mechanical Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, 210016, China","J. Zhang; Key Laboratory of Ministry of Education for Coastal Disaster and Protection, Hohai University, Nanjing, 210098, China; email: jszhanghhu@126.com","MDPI AG","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85108164920"
"Windt C.; Davidson J.; Ringwood J.V.","Windt, Christian (56469469600); Davidson, Josh (56421137900); Ringwood, John V. (6603725188)","56469469600; 56421137900; 6603725188","Investigation of turbulence modeling for point-absorber-type wave energy converters","2021","Energies","14","1","26","","","","6","10.3390/en14010026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106169396&doi=10.3390%2fen14010026&partnerID=40&md5=8ead971aa7abb34055e8ca0084435d39","Centre for Ocean Energy Research, Maynooth University, Kildare, W23 F2K8, Ireland; Leichtweiß—Institute for Hydraulic Engineering and Water Resources, Technische Universität Braunschweig, Braunschweig, 38106, Germany; Department of Fluid Mechanics, Faculty of Mechanical Engineering, Budapest University of Technology and Economics, Budapest, 1111, Hungary","Windt C., Centre for Ocean Energy Research, Maynooth University, Kildare, W23 F2K8, Ireland, Leichtweiß—Institute for Hydraulic Engineering and Water Resources, Technische Universität Braunschweig, Braunschweig, 38106, Germany; Davidson J., Department of Fluid Mechanics, Faculty of Mechanical Engineering, Budapest University of Technology and Economics, Budapest, 1111, Hungary; Ringwood J.V., Centre for Ocean Energy Research, Maynooth University, Kildare, W23 F2K8, Ireland","C. Windt; Centre for Ocean Energy Research, Maynooth University, Kildare, W23 F2K8, Ireland; email: christian.windt.2017@mumail.ie","MDPI AG","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106169396"
"Lopes de Almeida J.P.P.G.; Abrantes J.R.C.B.; Bento J.G.S.E.S.","Lopes de Almeida, J.P.P.G. (10044992000); Abrantes, J.R.C.B. (55674930500); Bento, J.G.S.E.S. (57216739870)","10044992000; 55674930500; 57216739870","A simplified model for expedient computational assessment of the novel REEFS wave energy converter power output","2020","Renewable Energy","157","","","43","54","11","6","10.1016/j.renene.2020.04.128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084516214&doi=10.1016%2fj.renene.2020.04.128&partnerID=40&md5=e81bb8bbf8c388e0563b563f7a811193","University of Coimbra, MARE-Marine and Environmental Sciences Centre, Department of Civil Engineering, Portugal","Lopes de Almeida J.P.P.G., University of Coimbra, MARE-Marine and Environmental Sciences Centre, Department of Civil Engineering, Portugal; Abrantes J.R.C.B., University of Coimbra, MARE-Marine and Environmental Sciences Centre, Department of Civil Engineering, Portugal; Bento J.G.S.E.S., University of Coimbra, MARE-Marine and Environmental Sciences Centre, Department of Civil Engineering, Portugal","J.P.P.G. Lopes de Almeida; University of Coimbra, Department of Civil Engineering, Coimbra, Rua Luís Reis Santos - Pólo II, 3030-788, Portugal; email: jppgla@dec.uc.pt","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85084516214"
"Chen W.; Lin X.; Lu Y.; Li S.; Wang L.; Zhang Y.; Gao F.","Chen, Weixing (56372835300); Lin, Xiongsen (57563145200); Lu, Yunfei (57470168600); Li, Shaoxun (57564408100); Wang, Lucai (57196330392); Zhang, Yongkuang (57202690426); Gao, Feng (56489135000)","56372835300; 57563145200; 57470168600; 57564408100; 57196330392; 57202690426; 56489135000","Design and experiment of a double-wing wave energy converter","2023","Renewable Energy","202","","","1497","1506","9","5","10.1016/j.renene.2022.12.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144441505&doi=10.1016%2fj.renene.2022.12.033&partnerID=40&md5=1e8501acb3f766703f744b276c4d60db","State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; Research Center of Marine Intelligent Equipment and Robot, Institute of Marine Equipment, Shanghai Jiao Tong University, Shanghai, China; Department of Navigation, Dalian Naval Academy, Dalian, 116018, China","Chen W., State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China, Research Center of Marine Intelligent Equipment and Robot, Institute of Marine Equipment, Shanghai Jiao Tong University, Shanghai, China; Lin X., State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China, Research Center of Marine Intelligent Equipment and Robot, Institute of Marine Equipment, Shanghai Jiao Tong University, Shanghai, China; Lu Y., State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China, Research Center of Marine Intelligent Equipment and Robot, Institute of Marine Equipment, Shanghai Jiao Tong University, Shanghai, China; Li S., State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China, Research Center of Marine Intelligent Equipment and Robot, Institute of Marine Equipment, Shanghai Jiao Tong University, Shanghai, China; Wang L., Department of Navigation, Dalian Naval Academy, Dalian, 116018, China; Zhang Y., State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China, Research Center of Marine Intelligent Equipment and Robot, Institute of Marine Equipment, Shanghai Jiao Tong University, Shanghai, China; Gao F., State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China, Research Center of Marine Intelligent Equipment and Robot, Institute of Marine Equipment, Shanghai Jiao Tong University, Shanghai, China","W. Chen; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; email: wxchen@sjtu.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85144441505"
"Cameron Mcnatt J.; Porter A.; Chartrand C.; Roberts J.","Cameron Mcnatt, J. (56107391600); Porter, Aaron (57211194292); Chartrand, Christopher (57014875400); Roberts, Jesse (56925832200)","56107391600; 57211194292; 57014875400; 56925832200","The performance of a spectral wave model at predicting wave farm impacts","2020","Energies","13","21","5728","","","","6","10.3390/en13215728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106505239&doi=10.3390%2fen13215728&partnerID=40&md5=cfb357494e061a45b7c1c8c59395a8b5","Mocean Energy, Edinburgh, EH9 3BF, United Kingdom; Mott MacDonald, Seattle, 98101, WA, United States; Sandia National Laboratories, Albuquerque, 87185, NM, United States","Cameron Mcnatt J., Mocean Energy, Edinburgh, EH9 3BF, United Kingdom; Porter A., Mott MacDonald, Seattle, 98101, WA, United States; Chartrand C., Sandia National Laboratories, Albuquerque, 87185, NM, United States; Roberts J., Sandia National Laboratories, Albuquerque, 87185, NM, United States","J. Cameron Mcnatt; Mocean Energy, Edinburgh, EH9 3BF, United Kingdom; email: cameron.mcnatt@mocean.energy","MDPI AG","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106505239"
"Carlo L.; Iuppa C.; Faraci C.","Carlo, Lilia (57217685488); Iuppa, Claudio (56719759300); Faraci, Carla (6603612333)","57217685488; 56719759300; 6603612333","A numerical-experimental study on the hydrodynamic performance of a U-OWC wave energy converter","2023","Renewable Energy","203","","","89","101","12","5","10.1016/j.renene.2022.12.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144259118&doi=10.1016%2fj.renene.2022.12.057&partnerID=40&md5=61a08c3d985771666b8ce13868d9d485","Department of Engineering, University of Messina, Contrada di Dio, Sant'Agata, Messina, 98166, Italy","Carlo L., Department of Engineering, University of Messina, Contrada di Dio, Sant'Agata, Messina, 98166, Italy; Iuppa C., Department of Engineering, University of Messina, Contrada di Dio, Sant'Agata, Messina, 98166, Italy; Faraci C., Department of Engineering, University of Messina, Contrada di Dio, Sant'Agata, Messina, 98166, Italy","L. Carlo; Department of Engineering, University of Messina, Messina, Contrada di Dio, Sant'Agata, 98166, Italy; email: lcarlo@unime.it","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85144259118"
"Song D.; Yu M.; Wang Z.; Wang X.","Song, Dalei (26031174500); Yu, Miao (57687990800); Wang, Zhifeng (55256628300); Wang, Xuegong (57226729700)","26031174500; 57687990800; 55256628300; 57226729700","Wind and wave energy prediction using an AT-BiLSTM model","2023","Ocean Engineering","281","","115008","","","","4","10.1016/j.oceaneng.2023.115008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161336355&doi=10.1016%2fj.oceaneng.2023.115008&partnerID=40&md5=c92e40979cd570e8efc4b891ef06d7de","College of Engineering, Ocean University of China, Qingdao, 266100, China","Song D., College of Engineering, Ocean University of China, Qingdao, 266100, China; Yu M., College of Engineering, Ocean University of China, Qingdao, 266100, China; Wang Z., College of Engineering, Ocean University of China, Qingdao, 266100, China; Wang X., College of Engineering, Ocean University of China, Qingdao, 266100, China","Z. Wang; College of Engineering, Ocean University of China, Qingdao, 266100, China; email: wzf1984@ouc.edu.cn","Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85161336355"
"Orszaghova J.; Lemoine S.; Santo H.; Taylor P.H.; Kurniawan A.; McGrath N.; Zhao W.; Cuttler M.V.W.","Orszaghova, J. (6507242413); Lemoine, S. (57538753000); Santo, H. (55387974100); Taylor, P.H. (56587227100); Kurniawan, A. (56235289300); McGrath, N. (57537516500); Zhao, W. (55725951900); Cuttler, M.V.W. (57192692677)","6507242413; 57538753000; 55387974100; 56587227100; 56235289300; 57537516500; 55725951900; 57192692677","Variability of wave power production of the M4 machine at two energetic open ocean locations: Off Albany, Western Australia and at EMEC, Orkney, UK","2022","Renewable Energy","197","","","417","431","14","4","10.1016/j.renene.2022.07.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135703881&doi=10.1016%2fj.renene.2022.07.053&partnerID=40&md5=99399272aa3f761fd5e5661d87a7b819","Oceans Graduate School, University of Western Australia, Crawley, WA, 6009, Australia; Marine Energy Research Australia (MERA), University of Western Australia, Australia; Ecole Centrale de Nantes, 1 rue de la Noe, Nantes Cedex 3, 44321, France; Technology Centre for Offshore and Marine, Singapore (TCOMS), Singapore, 118411, Singapore","Orszaghova J., Oceans Graduate School, University of Western Australia, Crawley, WA, 6009, Australia, Marine Energy Research Australia (MERA), University of Western Australia, Australia; Lemoine S., Ecole Centrale de Nantes, 1 rue de la Noe, Nantes Cedex 3, 44321, France; Santo H., Technology Centre for Offshore and Marine, Singapore (TCOMS), Singapore, 118411, Singapore; Taylor P.H., Oceans Graduate School, University of Western Australia, Crawley, WA, 6009, Australia, Marine Energy Research Australia (MERA), University of Western Australia, Australia; Kurniawan A., Oceans Graduate School, University of Western Australia, Crawley, WA, 6009, Australia, Marine Energy Research Australia (MERA), University of Western Australia, Australia; McGrath N., Oceans Graduate School, University of Western Australia, Crawley, WA, 6009, Australia, Marine Energy Research Australia (MERA), University of Western Australia, Australia; Zhao W., Oceans Graduate School, University of Western Australia, Crawley, WA, 6009, Australia; Cuttler M.V.W., Oceans Graduate School, University of Western Australia, Crawley, WA, 6009, Australia, Marine Energy Research Australia (MERA), University of Western Australia, Australia","J. Orszaghova; Oceans Graduate School, University of Western Australia, WA, Crawley, 6009, Australia; email: jana.orszaghova@uwa.edu.au","Elsevier Ltd","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85135703881"
